event_type,event_timestamp,example_number,prompt_tokens,completion_tokens,total_tokens,llm_name,tool_name,function_name,function_id,parent_function_name,parent_function_id,UUID,framework,NOVA-Event-ID,NOVA-Requests-Remaining-In-Event,NOVA-Time-To-Next-Event,NOVA-Time-To-Event-End,NOVA-Predicted-OSL,NOVA-Time-To-Session-End
WORKFLOW_START,1783251859.415854,0,0,0,0,,,root,root,,,cfc44582-7767-48d4-9c5b-10bf3f575c0e,,root,-1.0,-1.0,-1.0,,955941.7974948883
FUNCTION_START,1783251859.4160495,0,0,0,0,,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,,<workflow>,51.0,206.07280731201172,949780.76338768,,955941.6019916534
LLM_START,1783251859.6221223,0,0,0,0,nvidia/llama-3.3-nemotron-super-49b-v1.5,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,c79e6202-1e57-4745-a296-9583ba25a02d,,<workflow>,50.0,109266.29257202148,949574.690580368,2997.0,955735.5291843414
LLM_END,1783251968.887485,0,886,2997,3883,nvidia/llama-3.3-nemotron-super-49b-v1.5,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,c79e6202-1e57-4745-a296-9583ba25a02d,,<workflow>,50.0,0.9298324584960938,840309.327840805,,846470.1664447784
LLM_START,1783251968.8884149,0,0,0,0,nvidia/llama-3.3-nemotron-super-49b-v1.5,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,1f070866-1ea6-4ac2-b415-b8332f2b6bc7,,<workflow>,49.0,198242.2330379486,840308.3980083466,5047.0,846469.23661232
LLM_END,1783252167.1286855,0,1952,5047,6999,nvidia/llama-3.3-nemotron-super-49b-v1.5,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,1f070866-1ea6-4ac2-b415-b8332f2b6bc7,,<workflow>,49.0,1.962423324584961,642068.1273937225,,648228.9659976959
LLM_START,1783252167.130648,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,85a60127-7c88-459f-9d17-a8f2bdca7999,,<workflow>,48.0,3974.6155738830566,642066.164970398,177.0,648227.0035743713
LLM_END,1783252171.1048486,0,337,177,514,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,85a60127-7c88-459f-9d17-a8f2bdca7999,,<workflow>,48.0,0.41484832763671875,638091.9642448425,,644252.8028488159
LLM_START,1783252171.1052635,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,6a570678-2bc0-4bbc-84fd-c3d1ad90bf51,,<workflow>,47.0,2756.4525604248047,638091.5493965149,150.0,644252.3880004883
LLM_END,1783252173.861326,0,307,150,457,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,6a570678-2bc0-4bbc-84fd-c3d1ad90bf51,,<workflow>,47.0,0.39005279541015625,635335.4868888855,,641496.3254928589
LLM_START,1783252173.861716,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,fc33c402-6e2a-4395-9964-bce4426211fe,,<workflow>,46.0,7679.221630096436,635335.0968360901,167.0,641495.9354400635
LLM_END,1783252181.5405369,0,313,167,480,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,fc33c402-6e2a-4395-9964-bce4426211fe,,<workflow>,46.0,0.40078163146972656,627656.2759876251,,633817.1145915985
LLM_START,1783252181.5409377,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,fb03fc7c-c433-4dad-a8b0-791755c567ed,,<workflow>,45.0,3021.2783813476562,627655.8752059937,125.0,633816.713809967
